"week_start_date","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","total_orders","adjusted_orders","adjusted_orders_rate","total_canceled_orders","total_canceled_orders_rate","avoidable_canceled_orders","avoidable_canceled_orders_rate","gross_subtotal_sales","adjusted_subtotal_sales","total_canceled_orders_subtotal_sales","avoidable_canceled_orders_subtotal_sales","subtotal_sales_after_adjustments_and_cancels","new_customer_orders","new_customer_orders_rate","gh_plus_customer_orders","gh_plus_customer_orders_rate","pick_up_orders","self_delivery_orders","grubhub_delivery_orders","avg_driver_time_at_store","avg_avoidable_driver_wait_time","avg_delivery_route_time","avg_order_to_delivery_time","ratings_all","ratings_5_stars","ratings_4_stars","ratings_3_stars","ratings_2_stars","ratings_1_star","reviews"
"2026-02-16","3310488","1st Avenue","Jewel's Breakfast Joint","937 1st Ave.  ","New York","NY","10022","4","0",,"0",,"0",,"63.31","0.00","0.00","0.00","63.31","2","0.500","4","1.000","0","0","4","00:01:30.000","00:00:00.000","00:09:15.000","00:19:30.000","0","0","0","0","0","0","0"
"2026-02-16","1949699",,"Chucks Cheesesteaks","1338 Polk St ","San Francisco","CA","94109","1","0",,"0",,"0",,"63.96","0.00","0.00","0.00","63.96","1","1.000","1","1.000","0","0","1","00:06:00.000","00:00:00.000","00:10:00.000","00:31:00.000","1","1","0","0","0","0","0"
"2026-02-16","9796240","1541 Glenn School Rd suite 17","Burning Burger Stack","1541 Glenn School Rd  ","Durham","NC","27704","2","2","1.000","0",,"0",,"83.93","-43.36","0.00","0.00","40.57","2","1.000","1","0.500","0","0","2","00:10:30.000","00:02:00.000","00:10:30.000","00:27:00.000","1","0","0","0","0","1","1"
"2026-02-23","3310146","3rd Ave","Fried Munchies Shack","1760 3rd Ave  ","New York","NY","10029","2","0",,"1","0.500","1","0.500","50.28","0.00","-29.33","-29.33","20.95","0",,"2","1.000","0","0","2","00:07:00.000","00:02:00.000","00:26:00.000","00:48:00.000","0","0","0","0","0","0","0"
"2026-02-09","3326295","1st Ave","Angelo's Wraps Shop","147 1st Ave.  ","New York","NY","10003","3","0",,"0",,"0",,"72.73","0.00","0.00","0.00","72.73","1","0.333","3","1.000","0","0","3","00:01:00.000","00:00:00.000","00:06:30.000","00:24:00.000","0","0","0","0","0","0","0"
"2026-02-09","11000920","3rd Ave","Glorious Panini Snob","296 3rd Ave  ","New York","NY","10010","2","0",,"0",,"0",,"47.55","0.00","0.00","0.00","47.55","1","0.500","0",,"0","0","2","00:06:00.000","00:05:00.000","00:13:30.000","00:34:00.000","0","0","0","0","0","0","0"
"2026-02-16","8566160",,"Casa De Quesadilla","415 E Windmill Ln  ","Las Vegas","NV","89123","1","0",,"0",,"0",,"23.98","0.00","0.00","0.00","23.98","1","1.000","1","1.000","0","0","1","00:02:00.000","00:02:00.000","00:29:00.000","00:56:00.000","0","0","0","0","0","0","0"
"2026-02-02","2410420",,"The Wings Express","1147 West Chester Pike ","West Chester","PA","19382","1","0",,"0",,"0",,"28.97","0.00","0.00","0.00","28.97","1","1.000","1","1.000","0","0","1","00:00:00.000","00:00:00.000","00:21:00.000","01:04:00.000","0","0","0","0","0","0","0"
"2026-02-09","2116039",,"BBQ Ribs Co.","820 Pennsylvania Ave ","Pittsburgh","PA","15233","4","1","0.250","0",,"0",,"117.91","-49.97","0.00","0.00","67.94","2","0.500","3","0.750","0","0","4","00:01:40.200","00:01:30.000","00:18:10.200","00:40:10.200","0","0","0","0","0","0","0"
"2026-02-02","9816352","168 Myrtle Ave","Daybreak Breakfast Club","168 Myrtle Ave  ","Brooklyn","NY","11201","6","0",,"0",,"0",,"117.42","0.00","0.00","0.00","117.42","4","0.667","3","0.500","0","0","6","00:07:19.800","00:02:26.400","00:14:36.600","00:38:33.600","1","0","0","1","0","0","1"
