Start Date,End Date,Store ID,Store Name,Merchant Supplied ID,Downtime Category - Short,Downtime Category - Description,Minutes Downtime
2026-02-01,2026-02-28,2423067,Halal Gyro Lab (W 14th),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,851
2026-02-01,2026-02-28,2428371,Good Planet Vegan Burgers (Hillcrest Ave),NULL,UNCATEGORIZED,N/A,299
2026-02-01,2026-02-28,2428480,Milkshake And Dessert Bar (Hillcrest Ave),NULL,UNCATEGORIZED,N/A,299
2026-02-01,2026-02-28,2440058,The Burger Passion (Hillcrest Ave),NULL,UNCATEGORIZED,N/A,298
2026-02-01,2026-02-28,2459220,Toss N' Chop Salad Bar (Smith Rd),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,122
2026-02-01,2026-02-28,2459220,Toss N' Chop Salad Bar (Smith Rd),NULL,Store Closure,Store Closure - Dasher Reported,22
2026-02-01,2026-02-28,2477395,Viva Vegan Sandwiches (30th St),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,285
2026-02-01,2026-02-28,2479531,Papa's Panini (30th St),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,285
2026-02-01,2026-02-28,2487028,Big Ease Smoothies (30th St),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,348
2026-02-01,2026-02-28,2487370,Breakfast Sandwich Express (30th St),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,285
2026-02-01,2026-02-28,2548384,Stella's Pancake Bar (Broadway),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,285
2026-02-01,2026-02-28,2589150,Avocado N Toast Snob (Broadway),NULL,Store Issue,Unhealthy Operations Rate,6743
2026-02-01,2026-02-28,2589150,Avocado N Toast Snob (Broadway),NULL,UNCATEGORIZED,N/A,787
2026-02-01,2026-02-28,2589150,Avocado N Toast Snob (Broadway),NULL,Store Closure,Store Closure - Dasher Reported,153
2026-02-01,2026-02-28,2605686,Twin Peaks Burger (Broadway),NULL,Store Issue,Unhealthy Operations Rate,8421
2026-02-01,2026-02-28,2605686,Twin Peaks Burger (Broadway),NULL,UNCATEGORIZED,N/A,732
2026-02-01,2026-02-28,2705628,The Calzone Empire (Broad St),2705628,UNCATEGORIZED,N/A,1139
2026-02-01,2026-02-28,2849774,Penny's Pancakes (Hillside Ave),2849774,Store Closure,Store Closure - Bad Weather or Power Outage,846
2026-02-01,2026-02-28,2849804,Fiesta Mexican Spot (Hillside Ave),2849804,Store Closure,Store Closure - Bad Weather or Power Outage,846
2026-02-01,2026-02-28,2849819,Top Panini Shop (Hillside Ave),2849819,Store Closure,Store Closure - Bad Weather or Power Outage,846
2026-02-01,2026-02-28,2849967,The Chopped Salad (Hillside Ave),2849967,Store Closure,Store Closure - Bad Weather or Power Outage,846
2026-02-01,2026-02-28,22921336,Toss N' Chop Salad Bar (Lawrence Expy),22921336,Store Issue,Auto Pause - Tablet Detected Offline,501
2026-02-01,2026-02-28,22932399,The American Cheesesteaks (Polk St),22932399,UNCATEGORIZED,N/A,210
2026-02-01,2026-02-28,22988570,The Minister Wraps (Michelson Dr),22988570,UNCATEGORIZED,N/A,420
2026-02-01,2026-02-28,23007040,The Breakfast Dream (9th Ave),23007040,Store Closure,Store Closure - Bad Weather or Power Outage,848
2026-02-01,2026-02-28,23007066,The Smoothie Squeeze (450 9th Ave),23007066,Store Closure,Store Closure - Bad Weather or Power Outage,853
2026-02-01,2026-02-28,23007130,NY Dessert Bar (9th Ave),23007130,Store Closure,Store Closure - Bad Weather or Power Outage,848
2026-02-01,2026-02-28,23026068,Arifs Mediterranean Grill (Bedford Ave),23026068,Store Closure,Store Closure - Bad Weather or Power Outage,845
2026-02-01,2026-02-28,23026068,Arifs Mediterranean Grill (Bedford Ave),23026068,Store Too Busy,Auto Pause - High Avoidable Dasher Wait Time,60
2026-02-01,2026-02-28,23026166,Penny's Pancakes (Bedford Ave),23026166,Store Closure,Store Closure - Bad Weather or Power Outage,853
2026-02-01,2026-02-28,23026166,Penny's Pancakes (Bedford Ave),23026166,Store Too Busy,Auto Pause - High Avoidable Dasher Wait Time,30
2026-02-01,2026-02-28,23026219,Casa Pasta Ristorante (Bedford Ave),23026219,Store Closure,Store Closure - Bad Weather or Power Outage,845
2026-02-01,2026-02-28,23026219,Casa Pasta Ristorante (Bedford Ave),23026219,Store Too Busy,Auto Pause - High Avoidable Dasher Wait Time,30
2026-02-01,2026-02-28,23026318,Village Quesadilla (Bedford Ave),23026318,Store Closure,Store Closure - Bad Weather or Power Outage,845
2026-02-01,2026-02-28,23026318,Village Quesadilla (Bedford Ave),23026318,Store Too Busy,Auto Pause - High Avoidable Dasher Wait Time,30
2026-02-01,2026-02-28,23038686,Jr's Philly Cheesesteaks (Queens Plaza),23038686,Store Closure,Store Closure - Bad Weather or Power Outage,845
2026-02-01,2026-02-28,23038832,Amanda's Breakfast Lounge (Queens Plaza),23038832,Store Closure,Store Closure - Bad Weather or Power Outage,844
2026-02-01,2026-02-28,23038920,Firenze Pasta Ristorante (Queens Plaza),23038920,Store Closure,Store Closure - Bad Weather or Power Outage,844
2026-02-01,2026-02-28,23038937,Sal's Smoothie Spot (Queens Plaza),23038937,Store Closure,Store Closure - Bad Weather or Power Outage,844
2026-02-01,2026-02-28,23045921,Pita Sandwich Bite (George St),23045921,Store Closure,Store Closure - Dasher Reported,97
2026-02-01,2026-02-28,23056011,The Gyro Brothers (E 125th St),23056011,Store Closure,Store Closure - Bad Weather or Power Outage,345
2026-02-01,2026-02-28,23056011,The Gyro Brothers (E 125th St),23056011,Store Closure,Store Closure - Dasher Reported,127
2026-02-01,2026-02-28,23056011,The Gyro Brothers (E 125th St),23056011,Store Issue,Auto Pause - High Avoidable and/or POS Cancellation Rate,59
2026-02-01,2026-02-28,23059274,Halal Chicken Spot (Jamaica Ave),23059274,Store Closure,Store Closure - Bad Weather or Power Outage,1451
2026-02-01,2026-02-28,23060296,Bain's Burger Bar (Jamaica Ave),23060296,Store Closure,Store Closure - Bad Weather or Power Outage,844
2026-02-01,2026-02-28,23060304,The Juice Empire (9th Ave),23060304,Store Closure,Store Closure - Bad Weather or Power Outage,844
2026-02-01,2026-02-28,23060370,Grilled Cheese Ecstatic (9th Ave),23060370,Store Closure,Store Closure - Bad Weather or Power Outage,844
2026-02-01,2026-02-28,23085448,Chef Hanoka Sushi (W Greenway Rd),23085448,UNCATEGORIZED,N/A,15
2026-02-01,2026-02-28,23085566,Linh's Chinese Restaurant (W Greenway Rd),23085566,UNCATEGORIZED,N/A,20
2026-02-01,2026-02-28,23085594,Nakamura Ramen House (W Greenway Rd),23085594,UNCATEGORIZED,N/A,10
2026-02-01,2026-02-28,23085625,Chef Hanoka Sushi (W Peoria Ave),23085625,Store Closure,Store Closure - Dasher Reported,629
2026-02-01,2026-02-28,23085625,Chef Hanoka Sushi (W Peoria Ave),23085625,UNCATEGORIZED,N/A,33
2026-02-01,2026-02-28,23085637,Kung Fu Chinese Kitchen (W Greenway Rd),23085637,Store Too Busy,Auto Pause - High Avoidable Dasher Wait Time,30
2026-02-01,2026-02-28,23085637,Kung Fu Chinese Kitchen (W Greenway Rd),23085637,UNCATEGORIZED,N/A,10
2026-02-01,2026-02-28,23085638,Nakamura Ramen House (W Peoria Ave),23085638,Store Closure,Store Closure - Dasher Reported,644
2026-02-01,2026-02-28,23085638,Nakamura Ramen House (W Peoria Ave),23085638,UNCATEGORIZED,N/A,42
2026-02-01,2026-02-28,23085722,Nakamura Ramen House (W Indian School Rd),23085722,UNCATEGORIZED,N/A,108
2026-02-01,2026-02-28,23087583,Master Yamamoto Ramen Bar (E Bell Rd),23087583,UNCATEGORIZED,N/A,2007
2026-02-01,2026-02-28,23087616,The Chinese Noodle Palace (S Higley Rd),23087616,Store Closure,Store Closure - Dasher Reported,589
2026-02-01,2026-02-28,23106170,The Pancake Flip (Broadway),23106170,Store Closure,Store Closure - Bad Weather or Power Outage,850
