Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,Total Missing or Incorrect Orders,Missing/Incorrect %,Total Error Charges,Total Cancelled Orders,Total Cancellation Rate %,Total Avoidable Cancellations,Avoidable Cancellation Rate %,Point of Sale Error Rate %,Average Avoidable Dasher Wait,Average Dasher Wait,Average Delivery Time (ASAP),Uptime %,Downtime %,Total Downtime in Minutes,Average Rating,Total Number of Ratings Received in Period of Time,Total 1 Star Ratings,Total 5 Star Ratings,Number of Dislikes,Number of Loved,Percentage of Loved,Currency,Average ASAP Minutes
2026-02-01,2026-02-28,Chris's Chicken Tenders,36019345,732077,36019345,7,6,1,16.67,1.86,1,14.29,0,0.00,0.00,0.41,2.76,46.00,93.2,6.8,1113,NULL,1,NULL,NULL,1,0,0.00,USD,37.09
2026-02-01,2026-02-28,Christina's Vegan Cafe (1201 Castle Hill Ave),34249041,14303837,34249041,2,0,0,0.00,0.00,2,100.00,2,100.00,0.00,0.00,0.00,0.00,67.52,32.48,13088,NULL,0,NULL,NULL,0,0,0.00,USD,0.00
2026-02-01,2026-02-28,Christina's Vegan Cafe (1726 2nd Ave),34249039,14303837,34249039,1,1,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,3.40,22.00,99.29,0.71,165,NULL,0,NULL,NULL,0,0,0.00,USD,22.22
2026-02-01,2026-02-28,Christina's Vegan Cafe (58 St Marks Pl),34249037,14303837,34249037,2,2,0,0.00,0.00,0,0.00,0,0.00,0.00,7.50,9.05,42.50,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,43.16
2026-02-01,2026-02-28,Chuck's Cheesesteaks,1580781,338895,NULL,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,98.21,1.79,345,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,Chucks Cheesecakes (682 Morris Park Avenue),37530643,689463,37530643,1,1,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,1.33,36.00,96.96,3.04,510,NULL,0,NULL,NULL,0,0,0.00,USD,35.42
2026-02-01,2026-02-28,City Life Breakfast,35170821,994325,35170821,1,0,0,0.00,0.00,1,100.00,0,0.00,100.00,0.00,0.00,0.00,98.42,1.58,461,NULL,0,NULL,NULL,0,0,0.00,USD,0.00
2026-02-01,2026-02-28,City Life Breakfast,35901053,994325,35901053,1,1,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,2.12,34.00,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,33.22
2026-02-01,2026-02-28,City Light Wraps (1000 Palisades Center Dr),27682561,1031966,27682561,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,City Light Wraps (1201 Randall Avenue),23693129,1031966,23693129,3,3,0,0.00,0.00,0,0.00,0,0.00,0.00,0.63,2.08,54.67,97.4,2.6,375,NULL,0,NULL,NULL,0,0,0.00,USD,54.66
